GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
V1082 Sgr,19:07:21.87,-20:46:50.3,-0.0036,5,0.0018,5,2000,16,-13,vy,,,,14.2p-15.5p,2004-106,2004-106,1988-09,1998-21,1988-09S,,vG 237,,,,,,,,,,,
V1548 Aql,19:07:28.42,+11:44:45.8,,,,,,45,2,n,,2001.27,,10.8V-<18.V,2001-22,,2001-23,2001-24*,2001-23X,,TAV J1907+117,,,,,,,,,,,
CG Dra,19:07:32.78,+52:58:28.9,-4,3,-6,1,2000,83,19,ug,,,,15p-17.5p,2003-115,2003-115,1987-04,1987-04,1992-06S,*,S 9370,,,,,,,,,,,
V1493 Aql,19:07:36.91,+12:31:26.7,,,,,,46,2,na,156,1999.53,,10.4V-<21.V,1999-26,,1999-40,1999-59*,1999-10X:,2000-69,,,,,,,,,,,,
V841 Aql,19:07:39.79,+10:29:43.7,,,,,,44,1,n,,1951.,,11.5p-<17.5p,C00002,,1987-08,1987-08*,1999-09S*,,,,,,,,,,,,,
V415 Lyr,19:08:03.89,+31:23:55.5,,,,,,63,10,ug:,,,,14.8p-<17.0p,ICRS,,1987-04,1987-04,1992-06S,,SVS 1640,,,,,,,,,,,
V1089 Sgr,19:08:46.38,-17:21:46.7,,,,,,19,-12,ug,,,,13.8p-17p,1998-79,,1999-41*,1999-41*,,,vG 136,,,,,,,,,,,
V363 Lyr,19:08:51.59,+43:00:31.6,0,3,-6,1,2000,74,15,ug,,,,15.7p-18.6p,2003-115,2003-115,1987-04,1987-04,1999-08S,,S 9653,,,,,,,,,,,
V419 Lyr,19:10:13.90,+29:06:14.3,-36,7,-4,5,2000,61,9,ugsu,,,,14.4p-<17.5p,2003-115,2003-115,1998-43,1970-02*,,*,SVS 1584,,,,,,,,,,,
V452 Lyr,19:10:26.33,+43:28:55.0,,,,,,74,15,UG:,,,,17.6p-<18.5p,ICRS,,T00000,1972-03,,,GR 252,,,,,,,,,,,
Pav,19:10:40.24,-59:58:42.3,,,,,,336,-26,cv,,,G,21.3B-,ICRS,,2002-03,2002-03,,,NGC 6752-CX3,,Y,,,,,Y,,,,
Pav,19:10:40.49,-60:00:06.7,,,,,,336,-26,cv,,,G,23.6B-,ICRS,,2002-03,2002-03,,,NGC 6752-CX13,,Y,,,,,,,,,
Pav,19:10:51.20,-59:59:12.8,,,,,,336,-26,cv,,,G,19.5V-,ICRS,,2002-03,2002-03,,,NGC 6752-CX1,,Y,,,,,Y,,,,
Pav,19:10:51.29,-59:59:05.9,,,,,,336,-26,cv:,,,G,19.0V-,ICRS,,2002-03*,2002-03,,,NGC 6752-CX5,,Y,,,,,,,,,
Pav,19:10:51.37,-59:59:27.8,,,,,,336,-26,cv,,,G,22.7B-,ICRS,,2002-03,2002-03,,,NGC 6752-CX6,,Y,,,,,Y,,,,
Pav,19:10:51.86,-59:58:56.6,,,,,,336,-26,cv:,,,G,20.9V- ,ICRS,,1996-12,1996-12,,*,NGC 6752-CV2,,Y,,,,,,,,,
Pav,19:10:51.94,-59:58:01.5,,,,,,336,-26,cv:,,,G,20.6V- ,ICRS,,1996-12,1996-12,,*,NGC 6752-CV1,,Y,,,,,,,,,
Pav,19:10:52.4,-59:59:06.,,,,,,336,-26,cv:,,,G,21.7B-,2002-03,,2002-03*,2002-03*,,,NGC 6752-CX11,,Y,,,,,,,,,
Pav,19:10:54.83,-59:59:15.0,,,,,,336,-26,cv,,,G,19.9V-,ICRS,,2002-03,2002-03,,,NGC 6752-CX10,,Y,,,,,,,,,
Pav,19:10:56.04,-59:57:47.2,,,,,,337,-26,cv:,,,G,22.0V-,ICRS,,2002-03V,2002-03,,,NGC 6752-CX15,,Y,,,,,,,,,
Pav,19:10:56.35,-59:59:37.1,,,,,,336,-26,cv,,,G,19.4V-,ICRS,,2002-03,2002-03,,,NGC 6752-CX2,,Y,,,,,Y,,,,
V584 Lyr,19:10:59.42,+28:56:38.9,-4,3,6,2,2000,61,9,ug,0.1429,,,15.7V-<18.5V,2003-115,2003-115,2000-11,2000-11,2000-11S,2000-11,RX J191059.6+285639,,,,,,,Y,,,,
V363 Sgr,19:11:16.3,-29:50:00.,,,,,,8,-17,na,,1927.59,,8.8p-20j,C00003,,1987-08,1987-08:*,1987-08X:,,,,,,,,,,,,,
V369 Lyr,19:11:55.,+32:12:07.,,,,,,64,10,NA,,1960.62,,15.2p-<20p,C00001,,T00000,1968-05*,,,SVS 1512,,,,,,,,,,,
V1419 Aql,19:13:06.80,+01:34:23.3,,,,,,37,-4,na,,1993.37,,7.6p-<22r,1993-17,,1993-07,1998-77,1993-07X,,,,Y,,,,,,,,,
V352 Aql,19:13:33.75,+02:18:13.2,,,,,,,,non-cv,,,,- ,,,1967-09*,,,,PK 37-3 3,,,,,,,,,,,
V1315 Aql,19:13:54.54,+12:18:03.5,-0.0004,5,-0.0011,5,2000,46,0,nl/ux,0.13969,,,14.4V-16.3V,2004-106,2004-106,1986-01/1995-41,1986-01,1986-01S,1996-61,KPD 1911+1212,Y,,,,,,,,,,
V585 Lyr,19:13:58.43,+40:44:10.3,12,3,-24,34,2000,72,13,ugsu,,,,14.9p-<21.1V,2003-115*,2003-115,2001-18,2001-18,,*,TK 4,,,,,,,,,,,
V407 Vul,19:14:26.07,+24:56:43.3,,,,,,58,6,dq:,0.00659,,,19.7V- ,ICRS,,1996-28*,2000-101*,2002-25S,2004-99,RX J1914+2456,,,,,,,Y,,Y,,
Aql3,19:15:54.72,-00:14:43.2,,,,,,,,non-ex,,,,-,,,2005-47*,,,,NSV 11855,,,,,,,,,,,
V344 Pav,19:16:09.58,-62:35:53.1,,,,,,334,-27,ugsu,,,,14.5p-20j,ICRS,,2004-72,A9999-99*,2003-15S,*,,,,,,,,,,,,
V1378 Aql,19:16:35.35,+03:43:19.3,,,,,,39,-4,n,,1984.92,,10p-21p,C00002,,1987-08,1987-08,1984-08X:,,,,,,,,,,,,,
FO Aql,19:16:38.17,+00:07:37.0,6,6,-9,6,1992489,36,-5,ugss,,,,13.6p-17.5p,ICRS,1965-04,1982-03,1982-03,1985-07X,,3.1905,Y,,,,,,,,,,
V729 Sgr,19:16:49.10,-26:14:33.7,-13,0.0059,-0.0004,1,1991.25,12,-17,ug,0.173406,,,14.1p-15.5p,2004-109,2004-109,1988-09,1998-21,1988-09S,2000-63,vG 31,,,,,,,,,,,
V356 Aql,19:17:13.71,+01:43:21.7,,,,,,37,-5,nb,,1936.72,,7.7p-18.3V,ICRS,,1987-08,1987-08,1996-14S,,618.1936,,,,,,,,,,,
V587 Lyr,19:17:26.46,+37:10:40.8,-0.0073,0.0054,-0.0023,0.0054,2000,69,11,ug,,,,14.3p-<17.1p,2004-105,2004-105,2001-18,2001-18,,*,TK 5,,,,,,,,,,,
V1301 Aql,19:17:55.20,+04:47:18.3,,,,,,40,-3,na,,1975.42,,10.3v-21p,C00002,,1987-08,1987-08,1975-03X:,,,,,,,,,,,,,
V605 Aql,19:18:20.44,+01:46:59.5,,,,,,,,non-cv,,,,-,,,1997-40*,,,,7.1920,,,,,,,,,,,
V1336 Aql,19:18:41.88,-05:14:11.4,,,,,,,,non-cv,,,,-,,,2002-72*,,,,SVS 2270,,,,,,,,,,,
V528 Aql,19:19:19.12,+00:37:52.3,4,11,-18,6,2000,37,-5,na,,1945.65,,7.0p-19.2B,2003-115,2003-115,1987-08,1987-08*,1945-01X:,,,,,,,,,,,,,
CZ Aql,19:19:58.20,-07:10:55.3,-0.0082,0.0075,-0.0079,0.0074,2000,30,-10,ug,,,,13.p-15.p,2004-105,2004-105,1988-09,1998-21,1988-09S,,47.1925,,,,,,,,,,,
V606 Aql,19:20:24.3,-00:08:07.,,,,,,36,-6,na,,1899.3,,6.7p-17.3p,ICRS,,1987-08,1987-08*,1987-08X:,,BD -0 3708a,,,,,,,,,,,
V516 Lyr,19:20:35.67,+37:44:52.3,,,,,,70,11,ugss,,,O,18.9V-22.2V,ICRS,,2003-51,1992-27,1997-32S,,NGC 6791 B8,,,,,,,,,,,
V523 Lyr,19:21:07.53,+37:47:56.8,26,6,8,6,2000,70,11,vy/ugz,,,O,17.7V-20.2V,2003-115,2003-115,2003-51*,1992-27,1997-32S,,NGC 6791 B7,,,,,,,,,,,
V1113 Cyg,19:22:42.07,+52:43:59.1,,,,,,84,16,ugsu,,,,14.0V-19.3V,ICRS,,1996-31,1987-04,1999-08S,*,S 9382,,,,,,,,,,,
V730 Sgr,19:23:00.98,-28:29:37.5,-0.0034,0.0107,-0.0085,0.0107,1999389,10,-19,ug,,,,12.8p-<17.5p,2000-108,2000-108,1998-21,1998-21,1988-09S,,vG 36/HV 9622,,,,,,,,,,,
V1494 Aql,19:23:05.33,+04:57:19.0,-0.0057,5,-0.0179,5,2000,41,-5,n,0.134614,1999.92,,4.0V-<16.0V,2004-106,2004-106,1999-42,2003-65*,2000-05X,2004-96,,,,,,,,,,,,
V1370 Aql,19:23:21.10,+02:29:26.1,,,,,,39,-6,n,,1982.07,,6 -19.5p,C00002,,1987-08,1987-08,1996-14S,,,Y,,,,,,,,,,
BF Cyg,19:23:53.57,+29:40:29.1,,,,,,,,non-cv,,,,- ,,,T00000*,,,,He 3-1747,,,,,,,,,,,
V1114 Cyg,19:24:36.43,+28:26:10.5,,,,,,62,5,ug,,,,14.9p-<17p,ICRS,,1987-04,1987-04,,,103.1906,,,,,,,,,,,
KL Dra,19:24:38.1,+59:41:46.,,,,,,91,19,ibwd,0.015993,,,16.8c-<19c,ICRS,,1998-11,1998-82,1998-11X:,2002-106,SN 1998di,,,,,,,,,,,
V1229 Aql,19:24:44.52,+04:14:47.4,,,,,,41,-5,na,,1970.29,,6.7v-19.4p,C00002,,1987-08,1987-08*,1974-01X:,,,,Y,,,,,,,,,
Aql,19:25:31.8,+02:47:32.3,,,,,,39,-6,n::,,1949.,,-19p,1988-14,,1988-14,1988-14*,,,NSV 12006,,,,,,,,,,,
PW Vul,19:26:05.03,+27:21:57.0,-0.0004,5,-0.0222,5,2000,61,5,na,,1984.57,,6.4v-17.9B,2004-106,2004-106,1987-08,1996-41*,1996-14S,*,,Y,Y,,,,Y,Y,,,,
DH Aql,19:26:10.82,-10:15:30.2,4,4,-0.02,1,2000,28,-12,ugsu,,,,12.5p-18.3V,2003-115,2003-115,1995-36,C060D,2003-15S,*,HV 3899,,,,,,,,,,,
V368 Aql,19:26:34.44,+07:36:13.4,-0.0109,5,-0.0089,5,2000,44,-4,na,0.3452,1936.74,,5.0p-15.4p,2004-106,2004-106,1987-08,1987-08*,1983-12S,1994-60,668.1936,,,,,,,,,,,
V2176 Cyg,19:27:11.72,+54:17:50.9,18,2,-14,1,2000,86,17,ugwz,,,,13.3R-19.9R,2003-115,2003-115,2001-112,1998-39,1998-20X,*,BAO 01,,,,,,,,,,,
V1233 Aql,19:27:25.40,+02:23:03.5,4,1,-2,0,2000,39,-6,UG,,,,15.5p-20p,2003-115,2003-115,T00000,1969-05,2003-15S,,S 10574,,,,,,,,,,,
Aql,19:27:56.46,+03:41:42.1,,,,,,40,-6,UG:,,,,14.6p-15.7p,ICRS,,T00002*,1988-18*,,,NSV 24785,,,,,,,,,,,
Tel,19:28:32.6,-50:01:34.,,,,,,348,-26,am,0.070162,,,17.8V-,2004-58,,2004-58,2004-58*,2004-58S,2005-118,CTCV J1928-5001,,,,,,,,,,,
V1504 Cyg,19:28:56.45,+43:05:37.3,0,1,14,3,2000,76,11,ugsu,0.06951,,,13.5p-17.4p,2003-115,2003-115,1997-21,1978-04,1997-07S,1997-38,SVS 710,,,,,,,,,,,
V868 Cyg,19:29:04.5,+28:54:26.,,,,,,63,5,ugZ,,,,14.3p-<17.8p,ICRS*,,1987-04/T00000,1987-04,1999-08S,,VV 137,,,,,,,,,,,
NQ Vul,19:29:14.72,+20:27:59.3,,,,,,55,1,na,,1976.81,,6.0v-18.3B,ICRS,,1987-08,1987-08,1996-14S,,,,Y,,,,,,,,,
V1505 Cyg,19:29:49.0,+28:32:54.,,,,,,63,5,UGZ,,,,15.2p-<17.5p,ICRS,,T00000,1967-05*,,,SVS 1532,,,,,,,,,,,
V792 Cyg,19:31:00.95,+33:47:04.1,-0.0211,5,0.0006,5,2000,67,7,ugSS,,,,14.1p-17.0p,2004-106,2004-106,1987-04/T00000,1987-04,1992-06X,,VV 61,,,,,,,,,,,
DO Aql,19:31:25.87,-06:25:38.1,1,,-12,,1987408,32,-12,nb,0.167762,1925.,,8.7v-16.5p,ICRS,1935-01,1987-08,1987-08,1987-09S,1993-30,9.1925,,,,,,,,,,,
WY Sge,19:32:43.88,+17:44:54.7,,,,,,53,-1,n,0.153635,1783.,,5.4B-20.7B,ICRS,,1987-08,1987-08,1983-16S,1996-69,,,,,,,,,,,,
V793 Cyg,19:33:06.2,+33:15:37.,,,,,,67,6,ugSS,,,,14.4p-<18.5p,ICRS,,1987-04/T00000,1987-04,,,VV 62,,,,,,,,,,,
HN Cyg,19:33:39.96,+28:56:14.1,,,,,,,,non-cv,,,,- ,,,1990-23*,,,,294.1929,,,,,,,,,,,
KX Aql,19:33:53.64,+14:17:46.1,,,,,,50,-2,ug,0.06036,,,12.5p-18.4V,2005-15,,1982-03,1982-03*,2001-28S,2003-05,HV 5428,,,,,,,,,,,
V795 Cyg,19:34:34.09,+31:32:11.9,,,,,,66,5,ugSS,,,,13.4p-<17.9p,2003-53*,,1987-04/T00000,1993-27,2003-53S:*,,VV 63,,,,,,,,,,,
V2289 Cyg,19:34:36.20,+51:07:42.4,12,3,4,3,2000,83,15,ug,,,,15.7V-<19.V,2003-115,2003-115,2000-52,1990-25,1997-07S,*,1H 1933+510, Cyg2,,,,Y,,,,,,
EY Aql,19:34:44.52,+15:01:51.6,,,,,,51,-2,na:,,1926.7,,10.5p-20.0r,C00002,,1987-08,1987-08,,,SVS 202,,,,,,,,,,,
V905 Cyg,19:35:05.62,+30:34:23.7,,,,,,65,4,ug,,,,16.5p-<18.1p,ICRS,,1987-04,1987-04,,,VV 138,,,,,,,,,,,
V607 Aql,19:35:25.53,+00:42:41.0,,,,,,,,non-cv,,,,- ,,,1987-08*,,,,31.1905/IRC 00445,,,,,,,,,,,
BZ Aql,19:35:29.03,-01:44:18.4,,,,,,,-11,non-cv,,,,-,,,T00000*,,,,HV 3799,,,,,,,,,,,
V991 Aql,19:35:34.84,+06:33:45.8,-0.0104,6,0.0068,6,2000,44,-7,ugz,,,,14.p-16.p,2004-105,2004-105,1983-21,1964-01,,,S 8125,,,,,,,,,,,
V345 Pav,19:35:42.90,-59:08:22.4,0.0174,0.0043,-0.0212,0.0041,2000,338,-29,ux,0.198096,,,13.4V-14.2V,2004-105,2004-105,1995-32/1992-20,1992-20,1992-20S,1992-20,EC 19314-5915,,,,Y,,,Y,,,,
V1141 Aql,19:37:09.84,+02:36:01.5,24,0,4,0,2000,41,-8,ugsu,,,,15.0V-19.5V,2003-115,2003-115,2003-23,1982-03,2003-15S,*,36.1905,,,,,,,,,,,
Cyg3,19:38:10.22,+35:51:26.9,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,NSV 12245,,,,,,,,,,,
QS Tel,19:38:35.80,-46:12:56.6,34,5,-14,25,2000,352,-27,am,0.097187,,,15.2V-17.4V,2003-115,2003-115,1995-41,1993-06,1993-06S,1995-64,RE 1938-461,,Y,,,,,Y,,Y,Y,
EM Cyg,19:38:40.11,+30:30:28.3,-0.0028,0.0033,-0.0002,0.0032,2000,65,4,ugz,0.290909,,,12.5v-14.4v,2004-105,2004-105,1987-20,1983-12,1983-12S,1984-20,185.1928,Y,Y,,,Y,Y,,,,,
V1289 Aql,19:38:42.18,+12:16:30.2,,,,,,,-4,non-cv:,,,,13p-<15.5p,ICRS,,1995-18*,1904-01,1995-18S,,67.1903,,,,,,,,,,,
SS Sge,19:39:08.38,+16:42:39.8,,,,,,,,non-cv,,,,- ,,,1987-08*,,,,SVS 81,,,,,,,,,,,
HS Sge,19:39:22.02,+18:07:53.9,,,,,,54,-2,na,,1977.02,,7.0p-20.7B,C00002,,1987-08,1987-08*,1977-02X:,,,,,,,,,,,,,
Sgr,19:39:41.92,-30:55:45.9,,,,,,9,-23,cv,,,G,-,2006-06,,2006-06,,,,NGC 6809-9,,,,,,,,,,,
Cyg,19:39:52.,+38:17:17.,,,,,,,,non-ex,,,,-,,,1994-55*,,,,NSV 24843,,,,,,,,,,,
Sgr,19:40:08.59,-30:58:51.1,,,,,,9,-23,ug,,,G,19.0V-21.9V,2005-21,,2005-21,2005-21*,,,NGC 6809 CV1,,,,,,,Y,,,,
V1432 Aql,19:40:11.42,-10:25:25.8,0,0.0076,-4,8,2000,29,-16,am,0.140235,,,14.9V-18.0V,2004-105,2004-105,2003-104,1994-18,1994-18S,2003-106,Aql1, RX J1940-1025,,Y,,,,,Y,,,
FY Vul,19:41:39.95,+21:45:59.0,,,,,,58,-1,ugz,,,,13.4B-15.3B,ICRS,,1982-03,1982-03,1995-18S,,122.1940,,,,,,,,,,,
V890 Aql,19:42:53.0,+01:25:27.,,,,,,,,non-ex,,1946.,,- ,,,1987-08*,,,,,,,,,,,,,,,
Sgr1,19:43:57.,-40:26: ,,,,,,359,-26,n::,,,,- ,C00003,,1987-08,1987-08:*,,,NSV 12329,,,,,,,,,,,
V1285 Cyg,19:44:49.56,+35:59:34.8,,,,,,,,non-cv,,,,- ,,,1987-03*,,,,VV 255,,,,,,,,,,,
LU Vul,19:45:35.27,+28:35:29.1,,,,,,64,2,na,,1968.56,,9.5p-<21p,C00003,,1987-08,1987-08:*,1969-01X:,,,,,,,,,,,,,
Aql,19:46:16.35,-04:44:57.1,,,,,,35,-14,cv,,,,19.0B- ,ICRS,,1998-18,1998-18,1998-18S,,RX J1946.2-0444,,,,,,,Y,,,,
CK Vul,19:47:38.0,+27:18:48.,,,,,,63,1,nb,,1670.,,2.6v-20.7v,1982-09,,1982-09*,1982-09*,1982-09S:,,BD +26 3670a,Y,,,,,,,,,,
V3885 Sgr,19:47:40.53,-42:00:26.4,0.0304,0.0012,-0.0397,0.0013,2000,357,-28,ux,0.20714,,,9.6v-10.3V,2004-105,2004-105,1995-41,ACD,1985-01S,2005-109,CD -42 14462,Y,Y,,,Y,Y,Y,,,,
LV Vul,19:48:00.52,+27:10:19.3,,,,,,63,1,na,,1968.29,,5.2v-16.6B,C00002,,1987-08,1987-08,1996-14S,,,,,,,,,,,,,
V1153 Cyg,19:48:14.49,+34:52:01.3,18,1,2,1,2000,70,4,ugSS,,,,16.4p-<19p,2003-115,2003-115,1987-04/T00000,1966-03,,,VV 168,,,,,,,,,,,
V811 Cyg,19:48:23.30,+36:26:23.2,0.0004,0.0056,-0.0077,0.0056,2000,71,5,ugSS,,,,12.7p-<17.7p,2004-105,2004-105,1987-04/T00000,1987-04,1997-07S,,VV 64,,,,,,,,,,,
V1006 Cyg,19:48:47.22,+57:09:21.8,0.0172,5,-0.0069,5,2000,90,15,ug,,,,15.4p-17.0p,1987-28,1987-28,1987-04,1987-04,1992-06S,,S 7844,,,,,,,,,,,
AB Dra,19:49:06.51,+77:44:22.9,-0.0069,5,-0.0223,5,2000,110,23,ugz,152,,,12.3V-15.8V,1987-28,1987-28,1995-41,1983-12,1983-12S,1985-20,90.1934,Y,,,,Y,Y,Y,,,,
V542 Cyg,19:49:10.49,+58:31:59.0,,,,,,91,15,ugSS:,,,,13.0p-18.3p,ICRS,,1987-04/T00000,1987-04,1992-06S,,S 3813,,,,,,,,,,,
V1449 Cyg,19:49:16.58,+34:10:48.6,,,,,,69,4,ugSS,,,,15.5p-<17.0p,ICRS,,1987-04/T00000,1987-04*,,,GR 217,,,,,,,,,,,
V813 Cyg,19:49:35.88,+36:44:40.0,-14,6,6,2,2000,72,5,ugSS,,,,16.0p-<19p,2003-115,2003-115,1987-04/T00000,1987-04,,,VV 65,,,,,,,,,,,
CI Cyg,19:50:11.86,+35:41:03.2,,,,,,,,non-cv,,,,- ,,,T00000*,,,,HV 3625,,,,,,,,,,,
V1047 Aql,19:51:31.11,+10:57:22.2,-0.0145,5,0.0169,5,2000,50,-8,UG,,,,15p-<17.5p,2004-106,2004-106,T00000,1964-01,2003-15S,,S 8191,,,,,,,,,,,
V1050 Aql,19:51:43.36,+10:51:14.9,,,,,,,,non-cv,,,,- ,,,1984-11*,,,,S 8194,,,,,,,,,,,
Cyg,19:51:47.49,+37:16:47.8,-0.0037,0.0058,-0.0056,6,2000,72,5,cv,492,,,15.5B- ,2004-105,2004-105,1998-18,1998-18,1998-18S,2005-117,RX J1951.7+3716,,,,,,,Y,,,,
V1452 Cyg,19:52:02.,+35:55:34.,,,,,,71,4,UGSS,,,,15.4p-<17.0p,ICRS,,T00000,1972-02*,,,GR 220,,,,,,,,,,,
DO Vul,19:52:10.7,+19:34:43.,,,,,,57,-4,UG,,,,14.0p-20.7V,2001-25,,T00000,2001-25,,*,25.1928,,,,,,,,,,,
V500 Aql,19:52:28.03,+08:28:46.8,,,,,,48,-9,na,0.1452,1943.3,,6.6p-17.8p,ICRS,,1987-08,1987-08*,1943-01X:,1999-64,S 3542,,,,,,,,,,,
V465 Cyg,19:52:37.75,+36:33:53.0,,,,,,72,5,nb,,1948.,,8.0p-20.2V,2000-28,,1987-08,2000-28:*,1949-01X:,,VV 67,,,,,,,,,,,
V405 Vul,19:53:04.94,+21:14:48.6,,,,,,59,-3,ugsu,,,,15v-19v,ICRS,,1998-45,1998-45,,*,S 10943,,,,,,,,,,,
PQ Aql,19:53:06.65,+12:59:00.8,-0.0005,5,-0.0039,5,2000,52,-7,ug:,,,,14.8B-<18p,2004-106,2004-106,1998-29,A9999-99*,,,HV 5482,,,,,,,,,,,
CK Cyg,19:53:28.,+56:58:43.,,,,,,90,15,NC:,,1913.78,,12.0p-<17.p,1923-01*,,T00000,1923-01*,,,SVS 26,,,,,,,,,,,
V1454 Cyg,19:53:38.45,+35:21:45.8,,,,,,71,3,ugSS,,,,13.9V-20.5V,ICRS,,1987-04/T00000,1999-93*,,,GR 221,,,,,,,,,,,
EY Cyg,19:54:36.74,+32:21:55.1,0.0081,0.0054,0.0078,0.0054,2000,69,2,ugSS,0.459324,,,11.4v-15.5v,2004-105,2004-105,1987-04/T00000,1987-04,1997-07S,2004-102,200.1928,Y,Y,,,,Y,Y,,Y,,
V1819 Cyg,19:54:37.57,+35:42:16.0,,,,,,71,4,nb,,1986.6,,8.7v-19.6R,ICRS,,1987-08,2000-15,1989-05X,,,,Y,,,,,,,,,
V1162 Cyg,19:54:45.72,+36:47:11.6,6,2,4,0,2000,72,4,NL:,,1948.,,15.8p-<17.6p,2003-115,2003-115,T00000,1967-08,,,VV 176,,,,,,,,,,,
Sgr3,19:55:46.84,-20:30:54.9,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,NSV 12560/LTT 7873,,,,,,,,,,,
V1327 Aql,19:56:18.93,+01:46:43.9,-0.0204,5,-0.0118,5,2000,42,-13,UG:,,,,16p-18.5V,2004-106,2004-106,T00000,1964-01,1995-07S,,S 8255,,,,,,,,,,,
V725 Aql,19:56:45.00,+10:49:33.3,-4,3,12,1,2000,50,-9,ugsu,0.0944,,,13.6v-17.3v,2003-115,2003-115,1999-50,1995-39,,2001-44,105.1940,,,,,,,,,,,
V348 Pav,19:56:48.20,-60:34:28.1,-64,9,-64,23,2000,336,-31,nl,,,,>18.0j-19.0j,2003-115,2003-115,1994-11,1994-11,1994-11S,,V1956-6034,,,,,,,,,,,
V393 Pav,19:57:11.48,-57:38:22.1,-24,7,-12,15,2000,340,-31,am,0.068625,,,18V- ,2003-115,2003-115,1996-10,1996-10,1996-10S,1996-10,Pav4, RX J1957.1-573,,,,,,,Y,,,
UU Aql,19:57:18.76,-09:19:20.9,44,8,-18,2,2000,32,-18,ug,0.163532,,,11.0V-17.0V,2003-115,2003-115,1982-03,1982-03,1983-12S,2002-22,HV 1319,Y,,,,,,Y,,,,
V2306 Cyg,19:58:14.48,+32:32:42.2,0.0101,0.0055,0.0046,0.0059,2000,69,2,dq,0.1812,,,15.7V- ,2004-105,2004-105,2000-03,1999-25,2000-03S,2002-114,1WGA J1958.2+3232,,,,,,,Y,,Y,,
V476 Cyg,19:58:24.55,+53:37:06.6,0.0078,5,-0.0206,5,2000,87,12,na,,1920.65,,2.0p-17.2B,1987-28,1987-28,1987-08,1987-08,1986-08S,,26.1920,,Y,,,,,,,,,
AW Sge,19:58:37.10,+16:41:28.6,0.01,0,16,0,2000,56,-7,ugsu,,,,13.8p-<17.5p,2003-115,2003-115,2000-25,2001-11,2003-15S*,*,151.1905,,,,,,,,,,,
V4140 Sgr,19:58:49.68,-38:56:12.4,-0.0213,0.0113,0.0038,0.0116,1991.25,1,-29,ugsu,0.06143,,,17.5V-19.0V,2004-109,2004-109,2004-64,1987-16,1988-02S,2003-109,NSV 12615,,,,,,,,,,,
Vul,19:59:51.29,+22:42:32.3,,,,,,61,-4,ugwz,,,,15.6c-22.5R,2005-81*,,2005-83,2005-82*,,*,Var. Star near M27,,,,,,,,,,,
V337 Cyg,19:59:53.,+39:14:02.,,,,,,75,4,ug,,,,14.4p-<16.5p,ICRS,,1996-34,1996-34*,,,101.1928,,,,,,,,,,,
SW Vul,20:00:05.17,+22:56:06.9,,,,,,61,-4,ug,,,,14.5p-18.5p,ICRS,,1982-03,1982-03,1992-06X,,29.1923,,,,,,,,,,,
V1028 Cyg,20:00:56.43,+56:56:37.3,-12,4,-4,3,2000,91,13,ugsu,,,,13.0p-18p,2003-115,2003-115,2000-13,1987-04,1992-06S,*,S 7854,,,,,,,,,,,
V823 Cyg,20:01:49.26,+36:07:24.4,,,,,,72,2,ugsu,,,,15.0p-<18.5p,ICRS,,1992-06,1987-04*,1992-06S,,VV 66,,,,,,,,,,,
V1032 Cyg,20:02:40.12,+57:16:25.6,,,,,,91,13,ug,,,,15.5p-<18.0p,ICRS,,1987-04,1987-04,,,S 7858,,,,,,,,,,,
V362 Vul,20:02:48.87,+22:28:25.7,,,,,,,,non-cv,,,,- ,,,1990-29*,,,,E2000+223,,,,,,,,,,,
RZ Sge,20:03:18.47,+17:02:51.4,-0.0182,5,-0.0241,5,2000,56,-7,ugsu,0.06828,,,12.2B-17.4B,2004-106,2004-106,1987-20,1982-03*,1982-10S,2003-81,157.1905,,Y,,,,,Y,,,,
RR Tel,20:04:18.53,-55:43:33.2,,,,,,,,non-cv,,,,- ,,,1987-08*,,,,HV 3181,,,,,,,,,,,
V550 Cyg,20:05:05.21,+32:21:21.1,,,,,,70,0,ugsu,,,,14.2p-<17.0p,2005-15,,2000-18,1957-05*,,*,S 3847,,,,,,,,,,,
Cyg4,20:05:07.69,+38:07:09.2,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,NSV 12778,,,,,,,,,,,
QQ Vul,20:05:41.91,+22:39:58.9,-0.0069,0.0052,0,0.0052,2000,62,-5,am,0.15452,,,14.5B-15.5B,2004-105,2004-105,1984-15,1984-05,1984-05S,2002-136,1E 2003+225,Y,Y,,,Y,Y,Y,Y,Y,,
Sgr,20:05:51.12,-29:34:59.9,-38,2,-52,6,2000,12,-28,ug,,,,15.9V-,2003-115,2003-115,2004-58,2004-58,2004-58S,*,CTCV J2005-2934,,,,,,,,,,,
V1363 Cyg,20:06:11.53,+33:42:37.7,-0.0124,0.0055,0.0042,0.0054,2000,71,0,ugZ,,,,13.0p-<17.6p,2004-105,2004-105,1987-04/T00000,1987-04,1992-06S,,VV 279,,,,,,,,,,,
